id,raw_path,artist,date,venue,city,state,collection,status,ia_identifier,ia_collection,source,notes
010720_Scott_Obrien,Dave W Flacs/010720_Scott_Obrien.flac,Scott Obrien,2001-07-20,,,,Dave Ward Collection,todo,,,,
sci2001-07-27,Brian H Flacs Wave 2/SCI/010727_SCI_1.flac,String Cheese Incident,2001-07-27,,,,Brian H Collection,todo,,,,
sci2001-07-28,Brian H Flacs Wave 2/SCI/010728_SCI_2.flac,String Cheese Incident,2001-07-28,,,,Brian H Collection,todo,,,,
011113_Scott_Brad_Paisley_at_BlueBird,Dave W Flacs/011113_Scott_Brad_Paisley_at_BlueBird.flac,Scott Brad Paisley at BlueBird,2001-11-13,,,,Dave Ward Collection,todo,,,,
sci2001-12-29,Brian H Flacs Wave 2/SCI/011229_SCI_1.flac,String Cheese Incident,2001-12-29,,,,Brian H Collection,todo,,,,
jcb2002-01-23,"Dave W Flacs/020123_JCB_2.flac
Dave W Flacs/020123_JCB_1.flac",John Cowan,2002-01-23,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
jcb2002-01-25,"Dave W Flacs/020125_JCB_1.flac
Dave W Flacs/020125_JCB_2.flac
Dave W Flacs/020125_JCB_Soundcheck.flac",John Cowan,2002-01-25,,,,Dave Ward Collection,todo,,,,multipart raw FLAC
020215_Phish_1,Brian H Flacs Wave 2/Misc/020215_Phish_1.flac,Phish,2002-02-15,,,,Brian H Collection,todo,,,,
020215_Phish_2,Brian H Flacs Wave 2/Misc/020215_Phish_2.flac,Phish,2002-02-15,,,,Brian H Collection,todo,,,,
sci2002-04-06,Brian H Flacs Wave 2/SCI/020406_SCI.flac,String Cheese Incident,2002-04-06,Waterloo Park,Austin,TX,Brian H Collection,already_uploaded,sci2002-04-06,StringCheeseIncident,,
jcb2002-05-10,Dave W Flacs/020510_JCB_Master.flac,John Cowan,2002-05-10,,,,Dave Ward Collection,todo,,,,
020712_Scott,Dave W Flacs/020712_Scott.flac,Scott,2002-07-12,,,,Dave Ward Collection,todo,,,,
jcb2002-08-02,Dave W Flacs/020802_JCB_RR.flac,John Cowan,2002-08-02,Riverbend Music Center,Cincinnati,OH,Dave Ward Collection,already_uploaded,jcb2002-08-02,JohnCowan,,
prtr2002-08-02,,Peter Rowan and Tony Rice,2002-08-02,,,,Dave Ward Collection,already_uploaded,prtr2002-08-02,taperssection,,
jmp2002-11-15,Brian H Flacs Wave 2/Misc/021115_Jeff_Mandela_Proj.flac,Jazz Mandolin Project,2002-11-15,Winston's,San Diego,CA,Brian H Collection,already_uploaded,jmp2002-11-15,JazzMandolinProject,,
030131_Scott_1,Dave W Flacs/030131_Scott_1.flac,Scott,2003-01-31,,,,Dave Ward Collection,todo,,,,
030131_Scott_2,Dave W Flacs/030131_Scott_2.flac,Scott,2003-01-31,,,,Dave Ward Collection,todo,,,,
jcb2003-02-10,Dave W Flacs/030210_JCB_2.flac,John Cowan,2003-02-10,,,,Dave Ward Collection,todo,,,,
030328_PGF,Brian H Flacs Wave 2/Misc/030328_PGF.flac,PGF,2003-03-28,,,,Brian H Collection,todo,,,,
20030417_OSMF_M.WilliamsSCMS-Aud,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030417_OSMF_M.Williams→SCMS-Aud.flac,OSMF M.Williams→SCMS Aud,2003-04-17,,,,Brian H Collection,todo,,,,
20030418-OSMF-P.GriffinRTTravs-Aud,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030418-OSMF-P.Griffin→RTTravs-Aud.flac,OSMF P.Griffin→RTTravs Aud,2003-04-18,,,,Brian H Collection,todo,,,,
20030418-OSMF-WaybacksJ.Douglas-Aud,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030418-OSMF-Waybacks→J.Douglas-Aud.flac,OSMF Waybacks→J.Douglas Aud,2003-04-18,,,,Brian H Collection,todo,,,,
ymsb2003-04-18.Matrix,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030418-OSMF-YMSB-Aud.flac,Yonder Mountain String Band,2003-04-18,Old Settler's Music Festival,Driftwood,TX,Brian H Collection,already_uploaded,ymsb2003-04-18.Matrix,YonderMountainStringBand,,
ymsb2003-04-18.SBD,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030418-OSMF-YMSB-Sbd.flac,Yonder Mountain String Band,2003-04-18,Old Settler's Music Festival,Driftwood,TX,Brian H Collection,already_uploaded,ymsb2003-04-18.SBD,YonderMountainStringBand,,
20030419-OSMF-OCCR.FosterCoopsUnc-Aud,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030419-OSMF-OCC→R.Foster→CoopsUnc-Aud.flac,OSMF OCC→R.Foster→CoopsUnc Aud,2003-04-19,,,,Brian H Collection,todo,,,,
20030419-OSMF-OCCR.FosterCoopsUnc-Sbd,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030419-OSMF-OCC→R.Foster→CoopsUnc-Sbd.flac,OSMF OCC→R.Foster→CoopsUnc Sbd,2003-04-19,,,,Brian H Collection,todo,,,,
ymsb2003-04-19.SBD,Brian H Flacs Wave 2/Old Settlers Music Festival - June 2003/20030419-OSMF-YMSB-Sbd.flac,Yonder Mountain String Band,2003-04-19,,,,Brian H Collection,todo,,,,
030606_Scott,Dave W Flacs/030606_Scott.flac,Scott,2003-06-06,,,,Dave Ward Collection,todo,,,,
del2003-06-15,Brian H Flacs Wave 3/2003 Huck Finn Country & Bluegrass Jam/20030615_HFMF_Steve_Spurgin_Julie_Wingfield_Del_McCoury_Band_early.flac,Del McCoury Band,2003-06-15,,,,Brian H Collection,todo,,,,
20030725_AGABAMF_SBD_Andy_Rau_Band_Silverado_Bluegrass_Band_Cliff_Wagner_and_Old_7,Brian H Flacs Wave 3/2003 2nd Annual Great American Bluegrass & Acoustic Music Festival/20030725_AGABAMF_SBD_Andy_Rau_Band_Silverado_Bluegrass_Band_Cliff_Wagner_and_Old_7.flac,AGABAMF SBD Andy Rau Band Silverado Bluegrass Band Cliff Wagner and Old,2003-07-25,,,,Brian H Collection,todo,,,,
20030726_AGABAMF_SBD_Clay_County_Peter_Feldman_Clearly_Bluegrass,Brian H Flacs Wave 3/2003 2nd Annual Great American Bluegrass & Acoustic Music Festival/20030726_AGABAMF_SBD_Clay_County_Peter_Feldman_Clearly_Bluegrass.flac,AGABAMF SBD Clay County Peter Feldman Clearly Bluegrass,2003-07-26,,,,Brian H Collection,todo,,,,
20030727_AGABAMF_SBD_Bladerunners_Suzie_Glaze_Chris_Stuart__Backcountry,Brian H Flacs Wave 3/2003 2nd Annual Great American Bluegrass & Acoustic Music Festival/20030727_AGABAMF_SBD_Bladerunners_Suzie_Glaze_Chris_Stuart_&_Backcountry.flac,AGABAMF SBD Bladerunners Suzie Glaze Chris Stuart & Backcountry,2003-07-27,,,,Brian H Collection,todo,,,,
20030727_AGABAMF_SBD_Clay_County,Brian H Flacs Wave 3/2003 2nd Annual Great American Bluegrass & Acoustic Music Festival/20030727_AGABAMF_SBD_Clay_County.flac,AGABAMF SBD Clay County,2003-07-27,,,,Brian H Collection,todo,,,,
031207_Scott,Dave W Flacs/031207_Scott.flac,Scott,2003-12-07,,,,Dave Ward Collection,todo,,,,
031207_Wisechild,Dave W Flacs/031207_Wisechild.flac,Wisechild,2003-12-07,,,,Dave Ward Collection,todo,,,,
20040118_BLYTHE_Borderland_Brass_Silverado_Lost_Highway,Brian H Flacs Wave 3/2004 Blythe Bluegrass Festival/20040118_BLYTHE_Borderland_Brass_Silverado_Lost_Highway.flac,BLYTHE Borderland Brass Silverado Lost Highway,2004-01-18,,,,Brian H Collection,todo,,,,
20040502_AMSBF_Lampkin_James_King_Band_early_Rick_Jamison,Brian H Flacs Wave 3/2004 1st Annual Mid-State Bluegrass Festival/20040502_AMSBF_Lampkin_James_King_Band_early_Rick_Jamison.flac,AMSBF Lampkin James King Band early Rick Jamison,2004-05-02,,,,Brian H Collection,todo,,,,
rre2004-09-02,Brian H Flacs Wave 3/2004 Strawberry Fall Music Festival/20040902_STRAW_AUD_Railroad_Earth_SBDGuy_Clark_with_Verlon_Thompson.flac,Railroad Earth,2004-09-02,Strawberry Music Festival,Grass Valley,CA,Brian H Collection,already_uploaded,rre2004-09-02,RailroadEarth,,
20050526_STRAW_1_FM_Poor_Mans_Whiskey_Anne_McCue,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050526_STRAW_1_FM_Poor_Man's_Whiskey_Anne_McCue.flac,STRAW 1 FM Poor Man's Whiskey Anne McCue,2005-05-26,,,,Brian H Collection,todo,,,,
20050526_STRAW_3_FM_John_Jorgenson_Quintet,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050526_STRAW_3_FM_John_Jorgenson_Quintet.flac,STRAW 3 FM John Jorgenson Quintet,2005-05-26,,,,Brian H Collection,todo,,,,
crookedstill2005-05-26,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050526_STRAW_2_FM_Crooked_Still_Penny_Lang.flac,Crooked Still,2005-05-26,,,,Brian H Collection,already_uploaded,crookedstill2005-05-26,taperssection,,
20050527_STRAW_5_FM_Susan_Tedeschi_Old_School_Freight_Train,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050527_STRAW_5_FM_Susan_Tedeschi_Old_School_Freight_Train.flac,STRAW 5 FM Susan Tedeschi Old School Freight Train,2005-05-27,,,,Brian H Collection,todo,,,,
20050527_STRAW_6_FM_Marcia_Ball_Old_School_Freight_Train,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050527_STRAW_6_FM_Marcia_Ball_Old_School_Freight_Train.flac,STRAW 6 FM Marcia Ball Old School Freight Train,2005-05-27,,,,Brian H Collection,todo,,,,
rre2005-05-27,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050527_STRAW_4_FM_Railroad_Earth_Marcia_Ball.flac,Railroad Earth,2005-05-27,Strawberry Music Festival,Grass Valley,CA,Brian H Collection,already_uploaded,rre2005-05-27,RailroadEarth,,
20050528_STRAW_7_FM_Due_West_Old_School_Freight_Train,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050528_STRAW_7_FM_Due_West_Old_School_Freight_Train.flac,STRAW 7 FM Due West Old School Freight Train,2005-05-28,,,,Brian H Collection,todo,,,,
20050528_STRAW_8_FM_Inspector_Eddie_From_Ohio,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050528_STRAW_8_FM_Inspector_Eddie_From_Ohio.flac,STRAW 8 FM Inspector Eddie From Ohio,2005-05-28,,,,Brian H Collection,todo,,,,
20050528_STRAW_9_FM_0528_Nashville_Bluegrass_Band_0529_Kieran_Kane_Kevin_Welch__Fats_Kaplan,"Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050528_STRAW_9_FM_0528_Nashville_Bluegrass_Band_0529_Kieran_Kane,_Kevin_Welch_&_Fats_Kaplan.flac","STRAW 9 FM 0528 Nashville Bluegrass Band 0529 Kieran Kane, Kevin Welch & Fats Kaplan",2005-05-28,,,,Brian H Collection,todo,,,,
lf2005-05-28,Brian H Flacs Wave 3/2005 Strawberry Spring Music Festival/20050528_STRAW_10_FM_Little_Feat.flac,Little Feat,2005-05-28,Strawberry Music Festival,Grass Valley,CA,Brian H Collection,already_uploaded,lf2005-05-28,LittleFeat,,
